t,ax,ay,az,temp,P,hum,roll,pitch,yaw,gx,gy,gz,cx,cy,cz
2270.557713,0.144497767,-0.133397922,-0.10749875,11.06104279,1020.431396,27.04321098,252.7204522,322.4144525,152.9017349,-0.36376974,-0.948251069,0.151149139,0.179966673,-58.85403442,-42.87503815
2270.686538,0.250931531,-0.385237753,-0.442769527,11.02515316,1020.419189,27.18558311,249.9584261,325.0437373,159.3035483,0.934624314,0.180322483,0.539964855,0.468619555,-58.58969498,-43.62666702
2270.766757,0.77437222,-1.21553731,-0.679700673,10.89953995,1020.419434,28.50997543,253.2049516,327.4971993,155.0863982,-0.13683331,0.135118455,0.901291668,-0.760417879,-58.89051437,-43.19643021
2270.853989,0.844196677,-1.545534372,-0.513149858,11.02515316,1020.434326,26.73197937,254.7428644,333.7186974,152.4999832,0.527177155,-0.744832933,1.461455107,-3.731541395,-59.4298439,-42.96609116
2270.932193,0.090189874,-1.15860796,0.256856471,10.9713192,1020.443115,26.05653763,258.0055433,340.1119064,148.9798539,0.42119208,0.280504405,1.044539571,-9.111357689,-59.47830582,-42.45266342
2271.030484,0.125102088,-0.524183869,-0.04627749,11.04309845,1020.430664,27.23855782,265.5744516,349.135557,140.1450999,1.157590151,0.425890326,1.837137222,-15.47416115,-59.50617218,-40.2082901
2271.111174,-0.125145674,-0.181401879,0.109663583,11.04309845,1020.406982,27.32464409,270.4994414,358.7933357,134.0526668,-0.247399926,0.600292325,2.166088104,-21.22532463,-59.4051857,-38.50801086
2271.195225,-0.305335701,-0.381860584,0.078470387,10.9713192,1020.408936,29.55955505,274.1396317,12.02487076,125.888487,1.662775636,1.36692822,2.031086922,-28.89833641,-57.06122589,-38.58824539
2271.272321,-0.143411517,-1.565073609,0.034117557,10.93542957,1020.412354,26.0664711,282.2573935,11.53198126,120.7127746,1.397354722,-0.446425259,-1.037594676,-33.52239227,-55.66350555,-36.11980438
2271.359515,0.017456107,-1.955135942,0.793720663,11.00720882,1020.427246,26.22871017,282.0362866,1.206742882,124.2815621,-1.379027843,-0.50415206,-2.611183405,-31.90850449,-56.62394333,-33.8511734
2271.467117,-0.070841834,-0.454469591,0.11405012,11.06104279,1020.42334,26.93725967,271.6714541,348.9682097,129.1252727,-1.084285378,-0.981543243,-0.536379695,-24.35628891,-59.58364105,-35.97281647
2271.589839,-0.071088664,-0.14304696,-0.042903088,11.06104279,1020.411133,26.26181984,264.4425389,351.2280871,133.8558754,-0.131335527,-0.344716191,0.361286789,-20.4183445,-60.54984283,-38.64263916
2271.709014,0.078067586,-1.243036985,-0.350455582,11.07898808,1020.400879,26.7750206,266.5795685,354.5339354,136.0524915,0.98899132,0.020275787,1.060116649,-20.46826744,-60.19261551,-37.57024384
2271.831837,-0.010860768,-1.955377102,-0.191135675,10.89953995,1020.396484,26.91077042,270.20338,2.95298533,136.7703034,0.040928468,-0.218267098,0.484681576,-24.89861679,-59.63661957,-35.61700439
2271.95572,-0.207835615,-0.661923885,-0.082913831,11.06104279,1020.395264,27.23193741,268.1457036,356.0184228,128.9932861,-0.016187435,1.415186524,-1.692136765,-24.35630989,-59.64531708,-37.95455551
2272.078454,0.160014302,-0.386685103,-0.126298979,11.00720882,1020.376953,26.88097191,267.3915756,349.8038552,125.1894308,-0.173485234,0.399317682,0.085786559,-20.37602043,-60.27761078,-39.45912933
2272.197631,0.142558202,-1.15933156,0.122335821,11.00720882,1020.363525,26.96043587,271.1371352,349.5141749,122.5377191,0.15943633,0.672679842,-0.177801803,-18.47496033,-60.72375488,-38.36904526
2272.320438,0.61072129,-1.595226884,0.20007512,10.93542957,1020.386719,27.09618568,273.7644289,347.4312276,124.052218,0.530842364,-0.624187052,-1.156407952,-17.4942646,-60.81987381,-36.6560173
2272.443309,0.356637955,-0.907491803,0.056050278,11.07898808,1020.39917,26.43399048,269.7569179,338.0510078,128.8819267,-0.775187552,-1.14464426,-0.054101583,-12.42680454,-60.93584061,-37.80632019
2272.566178,-0.12613301,-0.137257531,0.00999157,10.9713192,1020.39209,26.96705818,263.041353,345.5815987,134.5662287,-0.23121199,-0.168787003,0.880216837,-11.76104546,-60.914608,-40.56726456
2272.689085,0.091886997,-0.945123076,-0.245608121,10.98926353,1020.386963,27.29153442,268.1728058,347.6969186,137.6897835,1.97248435,0.099382833,0.897321045,-14.3095417,-61.18320465,-38.04905701
2272.808409,0.523440719,-2.02002573,-0.130878523,10.98926353,1020.412109,27.11605263,273.3478489,358.8257537,137.8508257,0.079718404,-0.705432117,1.269643426,-20.52361488,-60.39515305,-34.03136063
2272.932547,-0.289044529,-0.659994066,-0.177397043,11.04309845,1020.418945,25.58306885,268.8884798,354.5905393,133.2203399,0.38973254,0.723992527,-1.662815213,-23.30002213,-59.83269882,-35.44254303
2273.05563,0.130920798,-0.544446886,-0.139314517,11.04309845,1020.418701,27.27828979,271.5211967,352.4320889,128.5189704,-0.104457468,0.475064963,1.021937609,-21.67290878,-60.37528992,-35.75058746
2273.17411,0.057702132,-0.898325264,0.355553687,10.9713192,1020.428223,29.15561676,273.7106753,359.1351252,129.4429448,0.109345369,0.763698757,0.551265895,-24.79918671,-59.5189209,-35.03588867
2273.292234,0.173833713,-1.67459023,0.187646568,11.07898808,1020.431641,27.20544815,277.8497427,357.40205,126.4312275,0.513127267,-0.279659033,-0.759040058,-25.9349823,-59.38352585,-33.15960312
2273.419151,0.055035222,-0.649380147,0.169856697,11.06104279,1020.445557,26.2717514,274.1369338,346.6347465,127.2426813,-1.062599659,-0.686800778,-1.559884429,-21.71330643,-60.07133102,-34.74262619
2273.542103,0.070309311,-0.381136894,0.025100777,11.04309845,1020.446289,27.31802177,267.2983913,342.2301325,132.437327,-0.3585774,-0.519118249,0.491095662,-17.08672905,-60.14083862,-37.97095871
2273.664897,0.171166822,-0.414667308,-0.24922356,10.84570503,1020.45166,26.47372246,269.2436565,348.885917,138.2980255,1.140791297,-0.405191839,1.707939267,-18.46959114,-60.2846756,-36.12935638
2273.805694,0.226202041,-1.758295536,-0.283931673,10.9713192,1020.473877,27.21869278,271.4377796,359.8818172,139.7213686,0.214414194,-0.557602763,0.793473959,-24.47133064,-59.15521622,-34.23590469
2273.928405,-0.415424377,-0.762032628,0.485931516,11.04309845,1020.481445,26.72866821,273.2017306,357.5292672,136.5383502,-0.640797198,0.684591711,-1.212302089,-27.74562073,-58.59479523,-33.16238022
2274.047693,-0.110088699,-0.278857142,-0.10798081,11.06104279,1020.475342,27.15909576,271.2084151,357.6357541,127.9012481,-0.284051836,0.653743029,1.272697687,-26.74747467,-58.89677429,-35.727108
2274.170308,-0.259671092,-0.975517571,0.403318256,11.07898808,1020.485352,27.30477905,273.4732033,10.30099505,116.3830767,0.609033108,1.665946722,0.783089221,-31.2095108,-57.24960327,-37.28473663
2274.293299,0.380397648,-2.048731327,0.183991119,11.02515316,1020.500488,27.55641174,276.0369217,2.708615249,117.3409014,0.011912368,-1.526129603,-2.158532381,-32.04964828,-57.07424545,-36.32810974
2274.416347,-0.134525433,-0.377518535,0.106251821,11.04309845,1020.498535,27.102808,273.8974264,350.7209174,124.425119,-0.655457914,-1.871268511,-1.188783765,-26.69756889,-59.15374756,-35.8155899
2274.539074,-0.339645863,-0.443373203,0.398931742,11.00720882,1020.496338,27.53654671,278.1356544,354.5750937,129.8222525,-0.078495689,-0.56707114,0.964821637,-23.21427727,-60.17871475,-32.19696045
2274.658159,-0.068867147,-1.153059721,0.09357959,10.98926353,1020.494629,26.77170944,280.4303521,0.935338591,130.2474454,0.844216228,1.344937086,0.50667274,-25.43811798,-59.25929642,-28.97406769
2274.781083,0.253840864,-1.874325275,-0.091349833,10.98926353,1020.509033,26.96705818,278.8941879,1.463470803,130.7674687,-0.162489653,-0.562184215,0.611130655,-27.7883606,-58.46157455,-28.17820358
2274.9098,-0.467013031,0.003641889,0.351898253,11.02515316,1020.502441,26.7981987,277.4996613,357.9706236,125.868297,-0.251370549,0.837918878,-2.705256701,-27.73332214,-58.49180222,-30.10485268
2275.032875,0.111040227,-0.401641101,-0.018318173,10.93542957,1020.494141,27.27166748,277.2588698,349.1169268,120.4479135,-0.244345605,0.773167193,0.024089169,-22.14677048,-59.86034012,-31.84420586
2275.157383,0.116131596,-0.860693991,0.05556288,11.04309845,1020.484619,26.12937927,276.4685213,351.5365393,120.2980591,0.327729702,0.579828322,0.221093208,-19.83262062,-60.49720764,-32.0308609
2275.28048,0.526350081,-1.90833807,0.038260404,10.9713192,1020.492432,27.22531509,280.8231153,351.9058672,122.7506025,0.678977191,-0.886553705,-0.162530169,-19.465868,-60.66112518,-29.75115776
2275.399375,0.245112821,-0.998192728,0.288537055,10.9713192,1020.497803,27.44715118,281.1166904,345.1578111,124.7407693,-0.702494562,-0.914042592,-0.723609865,-17.12003899,-60.93154526,-29.18655205
2275.5224,0.046549615,-0.382343054,-0.055195544,11.09693241,1020.491211,27.18558311,274.1596647,344.0803385,129.5347015,-0.609032154,-0.416798294,0.228729025,-14.03398228,-61.28050232,-30.722332
2275.644879,0.179652423,-0.244361833,-0.154740348,10.9713192,1020.479492,29.05628777,272.3867593,344.5978312,134.3803929,1.276098013,0.223388478,0.497509748,-13.49594593,-61.28565979,-31.16520882
2275.7678,0.618237138,-1.810400248,0.053369612,11.06104279,1020.488525,26.90415001,274.8448078,352.3262304,135.0986556,-0.966082931,0.445743442,0.786449015,-16.74076271,-60.71024704,-29.92451096
2275.890473,-0.250291348,-1.240383506,0.449620694,11.02515316,1020.48291,27.003479,271.8032084,352.3838413,130.5229479,-0.54886198,1.165037274,-0.630147517,-18.87311935,-60.65104294,-31.33369827
2276.025305,0.068127304,-0.35025999,-0.078575321,10.9713192,1020.474121,27.15247345,273.8315151,345.4582062,119.0061289,0.401949823,1.269189715,-0.693677485,-15.77525806,-61.30733109,-33.07396698
